OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
2220,1434778,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,1,1C,0447,2020-01-27T00:16:55.000Z
2221,1434780,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4A,1202,2020-01-15T00:00:20.000Z
2222,1434781,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6A,1014,2020-01-26T00:08:30.000Z
2223,1434782,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5A,1396,2020-01-24T00:15:18.000Z
2224,1434784,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0440,2020-01-26T00:22:30.000Z
2225,1434785,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5B,1602,2020-01-27T00:01:40.000Z
2226,1434789,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5C,1654,2020-01-26T00:15:10.000Z
2227,1434792,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,4,4A,0927,2020-01-27T00:21:58.000Z
2228,1434794,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4C,1279,2020-01-27T00:17:30.000Z
2229,1434795,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4B,1344,2020-01-27T00:22:00.000Z
2230,1434796,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5C,1635,2020-01-27T00:12:00.000Z
2231,1434797,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6A,1011,2020-01-26T00:00:00.000Z
2232,1434798,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0718,2020-01-26T00:23:05.000Z
2233,1434799,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,2,2B,0552,2020-01-22T00:09:30.000Z
2234,1434800,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,2,2A,0216,2020-01-26T00:19:31.000Z
2235,1434801,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5B,1358,2020-01-26T00:00:40.000Z
2236,1434802,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0909,2020-01-24T00:15:46.000Z
2237,1434803,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0353,2020-01-27T00:08:00.000Z
2238,1434804,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6C,1443,2020-01-21T00:18:00.000Z
2239,1434805,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4A,0925,2020-01-16T00:11:30.000Z
2240,1434807,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1A,0113,2020-01-25T00:17:10.000Z
2241,1434808,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5B,1618,2020-01-25T00:03:35.000Z
2242,1434813,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1133,2020-01-13T00:10:00.000Z
2243,1434815,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0337,2020-01-26T00:10:47.000Z
2244,1434816,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1C,0438,2020-01-24T00:20:28.000Z
2245,1434817,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,6,6C,1141,2020-01-26T00:19:58.000Z
2246,1434818,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,2,2A,0233,2020-01-26T00:15:52.000Z
2247,1434819,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1A,0308,2020-01-27T00:19:30.000Z
2248,1434820,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4C,1227,2020-01-27T00:04:34.000Z
2249,1434821,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0616,2020-01-24T00:07:44.000Z
2250,1434823,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0622,2020-01-24T00:17:00.000Z
2251,1434824,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,1115,2020-01-26T00:02:00.000Z
2252,1434826,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5B,1633,2020-01-26T00:17:20.000Z
2253,1434827,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,1603,2020-01-25T00:16:46.000Z
2254,1434829,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0616,2020-01-24T00:07:44.000Z
2255,1434830,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4A,0913,2020-01-23T00:04:10.000Z
2256,1434831,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2A,0517,2020-01-27T00:10:46.000Z
2257,1434833,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,1,1A,0128,2020-01-09T00:09:45.000Z
2258,1434834,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0222,2020-01-26T00:03:15.000Z
2259,1434835,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0726,2020-01-26T00:09:45.000Z
2260,1434836,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0305,2020-01-26T00:21:00.000Z
2261,1434839,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0619,2020-01-22T00:17:15.000Z
2262,1434840,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0348,2020-01-27T00:04:30.000Z
2263,1434841,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0213,2020-01-27T00:00:00.000Z
2264,1434842,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0715,2020-01-26T00:04:50.000Z
2265,1434843,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0752,2020-01-27T00:09:30.000Z
2266,1434844,2310,0,LARCENY,1708 US THEFT OF MAIL,1,1C,0418,2020-01-28T00:06:30.000Z
2267,1434845,2205,0,BURGLARY,459 PC BURG BUSINESS-NO FORCE,2,2C,0616,2020-01-27T00:23:14.000Z
2268,1434846,5707,0,PRIVACY,602 PC TRESPASS,2,2B,0556,2020-01-28T00:00:48.000Z
2269,1434847,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6E,0876,2020-01-27T00:03:00.000Z
2270,1434848,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0568,2020-01-21T00:20:30.000Z
2271,1434849,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6C,1403,2020-01-27T00:16:48.000Z
2272,1434851,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1618,2020-01-25T00:03:35.000Z
2273,1434854,2099,9,ARSON,452(D)PC CAUSE FIRE OF PROPERT,3,3B,0737,2020-01-27T00:21:14.000Z
2274,1434856,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,4,4A,1205,2020-01-26T00:22:00.000Z
2275,1434859,2399,2,LARCENY,484 PC PETTY THEFT,6,6E,0888,2020-01-24T00:20:30.000Z
2276,1434860,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1B,0401,2020-01-27T00:04:30.000Z
2277,1434861,2308,0,LARCENY,484 PC PETTY THEFT/INSIDE,1,1A,0123,2020-01-22T00:08:28.000Z
2278,1434862,2099,5,ARSON,455 PC ARSON-ATTEMPT,2,2A,0517,2020-01-27T00:21:04.000Z
2279,1434863,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2A,0232,2020-01-27T00:14:17.000Z
2280,1434864,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,1,1B,0434,2020-01-27T00:12:23.000Z
2281,1434865,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0340,2020-01-27T00:04:30.000Z
2282,1434867,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0783,2020-01-05T00:18:51.000Z
2283,1434868,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0878,2020-01-27T00:05:16.000Z
2284,1434869,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0746,2020-01-25T00:02:00.000Z
2285,1434870,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,2020-01-27T00:07:00.000Z
2286,1434871,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0916,2020-01-21T00:03:10.000Z
2287,1434872,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0443,2020-01-27T00:16:55.000Z
2288,1434873,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0876,2020-01-27T00:15:00.000Z
2289,1434874,2099,3,ARSON,451(C) PC ARSON STRUC/LAND,2,2C,0604,2020-01-28T00:08:20.000Z
2290,1434875,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0328,2020-01-06T00:11:30.000Z
2291,1434879,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6D,0843,2020-01-25T00:14:55.000Z
2292,1434881,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,0712,2020-01-24T00:11:15.000Z
2293,1434882,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0103,2020-01-26T00:04:00.000Z
2294,1434884,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0307,2020-01-24T00:03:50.000Z
2295,1434886,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0727,2020-01-27T00:06:00.000Z
2296,1434887,5707,0,PRIVACY,602 PC TRESPASS,1,1C,0447,2020-01-26T00:10:07.000Z
2297,1434888,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1445,2020-01-24T00:17:00.000Z
2298,1434889,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0776,2020-01-26T00:19:25.000Z
2299,1434890,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1269,2020-01-26T00:19:40.000Z
2300,1434891,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0123,2020-01-24T00:02:00.000Z
2301,1434892,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4B,1306,2020-01-28T00:09:00.000Z
2302,1434893,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0435,2020-01-23T00:05:45.000Z
2303,1434895,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0766,2020-01-27T00:22:00.000Z
2304,1434897,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,0822,2020-01-28T00:07:30.000Z
2305,1434900,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6B,1064,2020-01-07T00:21:07.000Z
2306,1434902,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4B,1306,2020-01-28T00:07:00.000Z
2307,1434904,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0738,2020-01-28T00:06:00.000Z
2308,1434905,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,5,5A,1365,2020-01-26T00:00:01.000Z
2309,1434908,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0843,2020-01-28T00:00:00.000Z
2310,1434909,5404,21,TRAFFIC,23152(G) DUI DRUGS & ALCOHOL,4,4B,1354,2020-01-27T00:23:01.000Z
2311,1434910,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,1,1C,0406,2020-01-28T00:04:46.000Z
2312,1434911,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3B,0788,2020-01-25T00:15:00.000Z
2313,1434915,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,1115,2020-01-28T00:04:10.000Z
2314,1434916,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6B,1005,2020-01-03T00:15:25.000Z
2315,1434918,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5B,1603,2020-01-28T00:09:08.000Z
2316,1434921,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4C,1279,2020-01-27T00:12:43.000Z
2317,1434923,2602,0,FRAUD,FRAUD-SWINDLE,6,6C,1422,2020-01-07T00:15:00.000Z
2318,1434924,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0236,2020-01-07T00:18:54.000Z
2319,1434927,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0861,2020-01-28T00:14:00.000Z
2320,1434928,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0907,2020-01-28T00:11:58.000Z
2321,1434929,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0908,2020-01-27T00:11:27.000Z
2322,1434936,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,4,4B,0968,2020-01-16T00:12:00.000Z
2323,1434939,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2A,0232,2020-01-28T00:13:00.000Z
2324,1434941,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5B,1618,2020-01-07T00:20:03.000Z
2325,1434942,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0435,2020-01-28T00:12:02.000Z
2326,1434947,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6A,1015,2020-01-27T00:15:00.000Z
2327,1434951,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6E,1102,2020-01-28T00:13:12.000Z
2328,1434952,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,6,6D,0851,2020-01-27T00:17:20.000Z
2329,1434953,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,6,6D,0851,2020-01-23T00:08:30.000Z
2330,1434956,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3A,0701,2020-01-28T00:09:47.000Z
2331,1434958,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0752,2020-01-28T00:07:58.000Z
2332,1434959,7399,98,SAC CITY CODE,12.52.040(A) STOR PER PROP-PUB,6,6D,0825,2020-01-28T00:09:33.000Z
2333,1434964,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1064,2020-01-27T00:20:53.000Z
2334,1434967,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,2020-01-28T00:13:44.000Z
2335,1434968,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0918,2020-01-28T00:11:23.000Z
2336,1434969,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4C,1279,2020-01-28T00:13:33.000Z
2337,1434972,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,0969,2020-01-23T00:07:30.000Z
2338,1434973,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5B,1369,2020-01-28T00:11:55.000Z
2339,1434974,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,2,2B,0563,2020-01-28T00:10:59.000Z
2340,1434977,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2C,0603,2020-01-28T00:11:54.000Z
2341,1434980,5499,13,TRAFFIC VIO,23109(A)ILLEGAL SPEED CONTEST,UI,UI,UI,2020-01-27T00:15:42.000Z
2342,1434983,2501,0,FORGERY,470(D) FORGERY - CHECKS ETC,2,2C,0614,2020-01-27T00:07:53.000Z
2343,1434988,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0509,2020-01-18T00:02:09.000Z
2344,1434990,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1C,0449,2020-01-25T00:15:31.000Z
2345,1434991,7399,132,SAC CITY CODE,12.74.030 SCC-CITY HALL VIOL-M,3,3M,0734,2020-01-28T00:20:10.000Z
2346,1434992,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3B,0746,2020-01-28T00:18:37.000Z
2347,1434994,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1C,0406,2020-01-26T00:11:08.000Z
2348,1434996,3599,60,NARCOTICS,11350(A) POSS CONT SUB/SUPER X,6,6B,1084,2020-01-28T00:02:28.000Z
2349,1434997,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0344,2020-01-27T00:07:19.000Z
2350,1435003,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0767,2020-01-28T00:18:00.000Z
2351,1435007,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4C,1265,2020-01-28T00:21:42.000Z
2352,1435016,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,1,1B,0421,2020-01-28T00:21:35.000Z
2353,1435017,2604,0,FRAUD,529 PC FALSE PERSONATION,6,6B,1084,2020-01-28T00:21:02.000Z
2354,1435019,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2B,0563,2020-01-28T00:20:32.000Z
2355,1435020,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4C,1301,2020-01-28T00:06:00.000Z
2356,1435021,3599,44,NARCOTICS,11550(A)HS UNDER INFL NARCOTIC,3,3B,0718,2020-01-28T00:20:01.000Z
2357,1435023,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,2020-01-28T00:10:26.000Z
2358,1435024,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0336,2020-01-28T00:19:08.000Z
2359,1435025,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5C,1624,2020-01-23T00:23:45.000Z
2360,1435026,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0785,2020-01-25T00:16:59.000Z
2361,1435029,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6D,0831,2020-01-28T00:10:30.000Z
2362,1435032,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1289,2020-01-21T00:10:30.000Z
2363,1435033,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1421,2020-01-27T00:15:00.000Z
2364,1435035,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,6,6D,0841,2020-01-28T00:19:10.000Z
2365,1435037,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3A,0725,2020-01-28T00:15:24.000Z
2366,1435038,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0955,2020-01-28T00:18:00.000Z
2367,1435039,5212,57,WEAPON OFFENSE,21810 POSS METAL KNUCKLES-FEL,2,2B,0553,2020-01-28T00:16:58.000Z
2368,1435040,5707,0,PRIVACY,602 PC TRESPASS,3,3M,0742,2020-01-20T00:18:49.000Z
2369,1435041,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0502,2020-01-28T00:09:00.000Z
2370,1435042,2399,31,LARCENY,487(D)(2) GRAND THFT GUN >$950,6,6C,1112,2020-01-27T00:13:00.000Z
2371,1435044,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,2,2B,0552,2020-01-28T00:15:53.000Z
2372,1435045,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2C,0603,2020-01-11T00:01:12.000Z
2373,1435048,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1603,2020-01-24T00:15:00.000Z
2374,1435050,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5C,1606,2020-01-28T00:12:00.000Z
2375,1435051,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2B,0546,2020-01-27T00:12:00.000Z
2376,1435052,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1A,0145,2020-01-27T00:07:15.000Z
2377,1435056,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,3,3A,0721,2020-01-23T00:12:50.000Z
2378,1435057,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3B,0777,2020-01-28T00:03:27.000Z
2379,1435058,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4C,1279,2020-01-15T00:10:48.000Z
2380,1435059,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1445,2020-01-27T00:21:30.000Z
2381,1435061,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5C,1654,2020-01-03T00:16:00.000Z
2382,1435062,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4B,1334,2020-01-19T00:11:00.000Z
2383,1435063,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0526,2020-01-22T00:19:00.000Z
2384,1435064,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1A,0128,2020-01-24T00:08:30.000Z
2385,1435065,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,3,3B,0736,2020-01-24T00:11:15.000Z
2386,1435066,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,2,2B,0563,2020-01-27T00:04:42.000Z
2387,1435070,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1A,0110,2020-01-22T00:14:10.000Z
2388,1435071,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1A,0324,2020-01-24T00:14:00.000Z
2389,1435072,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6A,1052,2020-01-28T00:23:56.000Z
2390,1435073,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,0969,2020-01-27T00:16:51.000Z
2391,1435076,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1505,2020-01-12T00:00:00.000Z
2392,1435078,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,2,2A,0516,2020-01-27T00:20:44.000Z
2393,1435083,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0527,2020-01-08T00:09:51.000Z
2394,1435086,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6C,1448,2020-01-08T00:11:48.000Z
2395,1435087,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,6,6A,1061,2020-01-28T00:16:00.000Z
2396,1435088,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6A,1061,2020-01-28T00:17:00.000Z
2397,1435090,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3M,0734,2020-01-08T00:17:06.000Z
2398,1435092,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,1,1A,0301,2020-01-28T00:14:40.000Z
2399,1435096,2602,0,FRAUD,FRAUD-SWINDLE,5,5C,1644,2020-01-24T00:10:00.000Z
2400,1435103,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1B,0440,2020-01-28T00:23:19.000Z
2401,1435104,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,2,2A,0226,2020-01-21T00:23:35.000Z
2402,1435105,2602,0,FRAUD,FRAUD-SWINDLE,4,4B,1326,2020-01-28T00:08:00.000Z
2403,1435106,5212,91,WEAPON OFFENSE,30605 POSS ASSAULT WEAPON,2,2A,0512,2020-01-28T00:07:16.000Z
2404,1435107,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,4,4B,1351,2020-01-23T00:22:15.000Z
2405,1435108,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6C,1422,2020-01-27T00:23:53.000Z
2406,1435116,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,UI,UI,UI,2020-01-08T00:20:13.000Z
2407,1435117,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,1,1A,0102,2020-01-25T00:14:00.000Z
2408,1435120,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1612,2020-01-27T00:01:30.000Z
2409,1435121,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6D,0851,2020-01-16T00:14:00.000Z
2410,1435122,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2B,0553,2020-01-26T00:18:10.000Z
2411,1435124,2602,0,FRAUD,FRAUD-SWINDLE,5,5B,1614,2020-01-24T00:08:00.000Z
2412,1435125,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,1,1A,0123,2020-01-28T00:20:26.000Z
2413,1435127,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0738,2020-01-28T00:18:45.000Z
2414,1435134,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0444,2020-01-28T00:02:11.000Z
2415,1435136,2604,0,FRAUD,529 PC FALSE PERSONATION,UI,UI,UI,2020-01-28T00:03:17.000Z
2416,1435139,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2B,0531,2020-01-22T00:02:24.000Z
2417,1435145,3560,0,NARCOTICS,11360(A)HS SALE/TRANSP MARIJ,2,2B,0563,2020-01-28T00:22:19.000Z
2418,1435150,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1A,0305,2020-01-24T00:20:15.000Z
2419,1435151,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6C,1114,2020-01-28T00:23:10.000Z
2420,1435153,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6D,0853,2020-01-21T00:17:40.000Z
2421,1435154,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6D,0847,2020-01-28T00:00:00.000Z
2422,1435155,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,1,1A,0324,2020-01-28T00:12:15.000Z
2423,1435156,5707,5,TRESPASS,602(K)TRESPASS:INJURE PROPERTY,2,2C,0603,2020-01-28T00:09:00.000Z
2424,1435157,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,1,1B,0422,2020-01-28T00:20:18.000Z
2425,1435159,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1358,2020-01-28T00:04:42.000Z
2426,1435161,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1365,2020-01-28T00:23:10.000Z
2427,1435163,7399,54,SAC CITY CODE,12.24.020 ERECT SIGN SIDEWALK,3,3A,0704,2020-01-23T00:08:23.000Z
2428,1435169,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5C,1606,2020-01-28T00:21:18.000Z
2429,1435173,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0619,2020-01-28T00:19:10.000Z
2430,1435174,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1296,2020-01-28T00:22:45.000Z
2431,1435175,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0747,2020-01-25T00:11:05.000Z
2432,1435176,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1C,0449,2020-01-22T00:04:57.000Z
2433,1435177,2399,2,LARCENY,484 PC PETTY THEFT,1,1C,0406,2020-01-28T00:00:00.000Z
2434,1435178,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0340,2020-01-28T00:10:25.000Z
2435,1435180,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3M,0732,2020-01-24T00:10:09.000Z
2436,1435181,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0302,2020-01-25T00:20:00.000Z
2437,1435183,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0615,2020-01-25T00:13:00.000Z
2438,1435184,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0441,2020-01-27T00:21:30.000Z
2439,1435185,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1637,2020-01-28T00:01:15.000Z
